label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
Slab_T,2095,0,252,193,DJI_0589.JPG,5472,3078
Slab_T,2090,139,311,540,DJI_0589.JPG,5472,3078
Slab_T,2088,637,306,295,DJI_0589.JPG,5472,3078
Slab_T,2659,637,616,282,DJI_0589.JPG,5472,3078
Slab_T,3524,620,625,287,DJI_0589.JPG,5472,3078
Slab_T,4394,617,604,287,DJI_0589.JPG,5472,3078
Slab_H,2224,0,613,434,DJI_0589.JPG,5472,3078
Slab_H,2695,0,521,185,DJI_0589.JPG,5472,3078
Slab_H,3568,0,509,173,DJI_0589.JPG,5472,3078
Slab_H,4424,0,504,167,DJI_0589.JPG,5472,3078
Slab_H,2218,386,628,533,DJI_0589.JPG,5472,3078
Slab_H,2653,135,631,530,DJI_0589.JPG,5472,3078
Slab_H,3521,129,628,530,DJI_0589.JPG,5472,3078
Slab_H,4388,123,620,530,DJI_0589.JPG,5472,3078
Slab_H,3100,375,610,545,DJI_0589.JPG,5472,3078
Slab_H,3079,0,651,437,DJI_0589.JPG,5472,3078
Slab_H,3953,0,613,419,DJI_0589.JPG,5472,3078
Slab_H,3959,378,616,524,DJI_0589.JPG,5472,3078
Slab_C,2073,908,71,115,DJI_0589.JPG,5472,3078
Slab_C,2118,906,110,114,DJI_0589.JPG,5472,3078
Slab_C,2211,906,112,114,DJI_0589.JPG,5472,3078
Slab_C,2312,900,111,118,DJI_0589.JPG,5472,3078
Slab_C,2407,897,114,121,DJI_0589.JPG,5472,3078
Slab_C,2505,897,112,119,DJI_0589.JPG,5472,3078
Slab_C,2605,899,111,117,DJI_0589.JPG,5472,3078
Slab_C,2698,899,115,115,DJI_0589.JPG,5472,3078
Slab_C,2795,899,115,114,DJI_0589.JPG,5472,3078
Slab_C,2888,896,121,114,DJI_0589.JPG,5472,3078
Slab_C,2984,896,124,114,DJI_0589.JPG,5472,3078
Slab_C,3079,896,124,114,DJI_0589.JPG,5472,3078
Slab_C,3176,895,122,108,DJI_0589.JPG,5472,3078
Slab_C,3277,890,118,114,DJI_0589.JPG,5472,3078
Slab_C,3369,892,126,108,DJI_0589.JPG,5472,3078
Slab_C,3470,890,124,110,DJI_0589.JPG,5472,3078
Slab_C,3569,880,117,121,DJI_0589.JPG,5472,3078
Slab_C,3667,880,114,111,DJI_0589.JPG,5472,3078
Slab_C,3763,880,114,124,DJI_0589.JPG,5472,3078
Slab_C,3855,880,124,124,DJI_0589.JPG,5472,3078
Slab_C,3953,884,127,117,DJI_0589.JPG,5472,3078
Slab_C,4042,887,133,111,DJI_0589.JPG,5472,3078
Slab_C,4134,880,143,124,DJI_0589.JPG,5472,3078
Slab_C,4232,884,143,117,DJI_0589.JPG,5472,3078
Slab_C,4318,884,140,114,DJI_0589.JPG,5472,3078
Slab_C,4419,884,127,117,DJI_0589.JPG,5472,3078
Slab_C,4495,877,149,121,DJI_0589.JPG,5472,3078
Slab_C,4607,887,133,108,DJI_0589.JPG,5472,3078
Slab_C,4714,877,127,127,DJI_0589.JPG,5472,3078
Slab_C,4805,871,123,118,DJI_0589.JPG,5472,3078
Slab_C,4886,871,133,120,DJI_0589.JPG,5472,3078
Slab_C,4990,871,125,123,DJI_0589.JPG,5472,3078
Slab_C,5087,869,128,128,DJI_0589.JPG,5472,3078
Slab_C,5170,869,144,123,DJI_0589.JPG,5472,3078
Slab_C,5288,866,123,115,DJI_0589.JPG,5472,3078
Slab_C,5385,858,87,133,DJI_0589.JPG,5472,3078
Slab_T,5258,601,214,296,DJI_0589.JPG,5472,3078
Slab_H,4814,347,620,555,DJI_0589.JPG,5472,3078
Slab_H,4804,0,640,417,DJI_0589.JPG,5472,3078
Slab_H,5258,84,214,559,DJI_0589.JPG,5472,3078
Slab_H,5337,0,135,149,DJI_0589.JPG,5472,3078
Slab_C,5370,1375,102,164,DJI_0590.JPG,5472,3078
Slab_C,5245,1379,147,151,DJI_0590.JPG,5472,3078
Slab_C,5126,1379,147,138,DJI_0590.JPG,5472,3078
Slab_C,5010,1392,142,133,DJI_0590.JPG,5472,3078
Slab_C,4908,1384,160,142,DJI_0590.JPG,5472,3078
Slab_C,4779,1384,142,142,DJI_0590.JPG,5472,3078
Slab_C,4681,1388,129,151,DJI_0590.JPG,5472,3078
Slab_C,4553,1388,164,142,DJI_0590.JPG,5472,3078
